milk1,milk2,milk3,cond1,cond2,cond3,fat1,fat2,fat3,prot1,prot2,prot3,lact1,lact2,lact3
0.79612683,0.7683508,0.7574775,0.73553293,0.760891,0.94505258,0.78297524,0.91335551,0.85442634,0.702645,0.85557109,0.68718395,0.55916408,0.56346767,0.63244004
0.83361748,0.84478759,0.83160072,0.77038168,0.74094909,0.95369115,0.82952188,0.91852629,0.845942,0.7664571,0.89554541,0.74252503,0.67548443,0.61127817,0.62532227
0.8629843,0.75226468,0.73241678,0.80815703,0.80011792,0.95904066,0.86743378,0.92897435,0.87470955,0.77693973,0.89903116,0.77618694,0.66949728,0.65493819,0.73159513
0.83695327,0.83610017,0.83748588,0.8013902,0.80259424,0.95743405,0.8436837,0.93229628,0.86435265,0.79795074,0.9039803,0.75507907,0.6476914,0.61779304,0.71772875
0.83809331,0.86806453,0.85944887,0.80816644,0.81524313,0.95969851,0.85866106,0.93469444,0.87674206,0.82466276,0.9132998,0.78950624,0.65287757,0.7079342,0.69354233
0.88018414,0.82040254,0.86629459,0.82260894,0.8408747,0.96236925,0.88337637,0.94392585,0.88291609,0.854507,0.92892818,0.82964706,0.6150729,0.64613431,0.69646793
0.86543072,0.86096278,0.85866382,0.84695978,0.82890942,0.9628569,0.88147212,0.94539744,0.90211702,0.84968416,0.93284948,0.83413868,0.64016347,0.62773776,0.68124273
0.87344769,0.85572164,0.87209601,0.85058738,0.84059024,0.96308568,0.88991199,0.94596868,0.90642531,0.84575935,0.93212187,0.82921503,0.61341798,0.63348533,0.71819912
0.88336042,0.85671648,0.86824648,0.84707313,0.85114253,0.96491906,0.87208882,0.94992827,0.90867041,0.8543659,0.93038664,0.83376115,0.63524468,0.66834025,0.66952542
0.88336042,0.85671648,0.866748,0.84565735,0.84428632,0.96647772,0.88834202,0.95011792,0.89827635,0.8497926,0.93294556,0.85139245,0.64928755,0.60592017,0.67946112
0.86436327,0.8410574,0.84107387,0.86658727,0.85247209,0.96713894,0.89692529,0.94918709,0.89892785,0.86153121,0.93188494,0.8425223,0.62763517,0.60210149,0.67284086
0.87436327,0.80560299,0.83974675,0.85256182,0.85145693,0.96547266,0.89273979,0.94825128,0.91145313,0.85833659,0.93499796,0.84421099,0.5723925,0.55073223,0.68192618
0.87863785,0.82300791,0.85197727,0.86062145,0.86659108,0.96920008,0.89495934,0.95247385,0.90510341,0.85987174,0.93532882,0.83853152,0.61825958,0.62590627,0.69315552
0.8634586,0.85288705,0.84869276,0.8526902,0.85616254,0.96711925,0.89085442,0.95152027,0.90547597,0.8592142,0.93212559,0.84378061,0.59999994,0.59242285,0.69440586
0.87421269,0.82219071,0.8381866,0.86603087,0.86594128,0.96710562,0.8830142,0.95173379,0.90477532,0.84141969,0.92941091,0.83353465,0.57094054,0.60032817,0.68576455
0.87238868,0.81191577,0.86177707,0.86810861,0.85833872,0.967424,0.89507561,0.95335214,0.90721928,0.84090793,0.9335557,0.82582625,0.59642022,0.54690607,0.63436659
0.88400044,0.84047964,0.87079628,0.86657665,0.85976907,0.96893808,0.8962792,0.95000896,0.91369496,0.83811554,0.92599253,0.82271319,0.5033324,0.51001988,0.64891217
0.8798592,0.86978573,0.87164998,0.87083172,0.8569374,0.96794565,0.89729055,0.95544574,0.90821738,0.83758022,0.92644011,0.81739981,0.49204234,0.48484141,0.63140075
0.88378146,0.83755826,0.88351681,0.85329818,0.87127808,0.96842564,0.892358,0.95468741,0.9102455,0.83065605,0.92864442,0.80287547,0.45357552,0.42843379,0.64961371
0.86617997,0.83698136,0.86630087,0.86419111,0.86094086,0.96728862,0.89246519,0.95446703,0.90941365,0.83149335,0.92618793,0.81279457,0.34929923,0.51196457,0.57814712
0.85623074,0.85358492,0.85408876,0.86645981,0.86354086,0.96515926,0.8945676,0.94915113,0.89777702,0.83048889,0.92118793,0.81168818,0.32929923,0.49196457,0.51474747
0.88177106,0.8677424,0.83303797,0.85031358,0.86494813,0.95184014,0.89125016,0.94535734,0.87918497,0.83425969,0.9179159,0.82154575,0.40652495,0.52045665,0.69542349
